,location,bath,price,bhk,area_sqft
0,1st Block Jayanagar,4,428.0,4,2850.0
1,1st Block Jayanagar,3,194.0,3,1630.0
2,1st Block Jayanagar,2,235.0,3,1875.0
3,1st Block Jayanagar,2,130.0,3,1200.0
4,1st Block Jayanagar,2,148.0,2,1235.0
5,1st Block Jayanagar,4,413.0,4,2750.0
6,1st Block Jayanagar,4,368.0,4,2450.0
7,1st Phase JP Nagar,3,167.0,3,1875.0
8,1st Phase JP Nagar,5,85.0,5,1500.0
9,1st Phase JP Nagar,4,210.0,3,2065.0
10,1st Phase JP Nagar,3,225.0,3,2059.0
11,1st Phase JP Nagar,2,100.0,2,1394.0
12,1st Phase JP Nagar,2,93.0,2,1077.0
13,1st Phase JP Nagar,2,180.0,2,1566.0
14,1st Phase JP Nagar,2,50.0,1,840.0
15,1st Phase JP Nagar,3,131.0,3,1590.0
16,1st Phase JP Nagar,3,210.0,3,2180.0
17,1st Phase JP Nagar,2,88.5,2,1180.0
18,1st Phase JP Nagar,2,86.0,2,1200.0
19,1st Phase JP Nagar,2,85.0,2,1394.0
20,1st Phase JP Nagar,3,175.0,3,2077.0
21,1st Phase JP Nagar,2,85.0,2,1205.0
22,1st Phase JP Nagar,2,75.0,2,900.0
23,2nd Phase Judicial Layout,2,50.75,3,1450.0
24,2nd Phase Judicial Layout,2,40.25,2,1150.0
25,2nd Phase Judicial Layout,2,47.25,3,1350.0
26,2nd Phase Judicial Layout,2,47.25,3,1350.0
27,2nd Phase Judicial Layout,2,41.0,2,900.0
28,2nd Phase Judicial Layout,3,69.0,3,1681.0
29,2nd Phase Judicial Layout,2,47.25,3,1350.0
30,2nd Phase Judicial Layout,2,40.25,2,1150.0
31,2nd Stage Nagarbhavi,4,220.0,4,1500.0
32,2nd Stage Nagarbhavi,4,200.0,4,1350.0
33,2nd Stage Nagarbhavi,4,225.0,4,1200.0
34,2nd Stage Nagarbhavi,3,230.0,4,1500.0
35,5th Block Hbr Layout,2,56.0,2,1206.0
36,5th Block Hbr Layout,2,70.0,3,1270.0
37,5th Block Hbr Layout,2,69.0,2,1312.0
38,5th Block Hbr Layout,2,48.0,2,1100.0
39,5th Block Hbr Layout,5,130.0,5,3600.0
40,5th Block Hbr Layout,5,300.0,6,5100.0
41,5th Phase JP Nagar,2,60.0,2,1075.0
42,5th Phase JP Nagar,3,52.5,2,1150.0
43,5th Phase JP Nagar,2,62.8,2,1256.0
44,5th Phase JP Nagar,2,63.0,2,1207.0
45,5th Phase JP Nagar,2,100.0,3,1725.0
46,5th Phase JP Nagar,2,60.0,2,1440.0
47,5th Phase JP Nagar,2,100.0,3,1700.0
48,5th Phase JP Nagar,5,110.0,5,2500.0
49,5th Phase JP Nagar,1,30.0,1,600.0
50,5th Phase JP Nagar,2,65.0,2,1390.0
51,5th Phase JP Nagar,2,62.8,2,1256.0
52,5th Phase JP Nagar,2,48.0,2,1000.0
53,5th Phase JP Nagar,2,75.0,3,1350.0
54,5th Phase JP Nagar,1,23.5,1,552.0
55,5th Phase JP Nagar,2,51.0,2,1200.0
56,5th Phase JP Nagar,2,57.0,2,1030.0
57,5th Phase JP Nagar,2,68.0,2,1200.0
58,5th Phase JP Nagar,2,61.8,2,1190.0
59,5th Phase JP Nagar,5,170.0,5,4000.0
60,5th Phase JP Nagar,2,53.0,2,1080.0
61,5th Phase JP Nagar,2,54.0,2,1041.0
62,5th Phase JP Nagar,2,42.0,2,812.0
63,5th Phase JP Nagar,2,57.0,2,1010.0
64,5th Phase JP Nagar,2,60.0,2,1075.0
65,6th Phase JP Nagar,2,74.0,2,1192.0
66,6th Phase JP Nagar,2,80.0,2,1180.0
67,6th Phase JP Nagar,4,250.0,4,3245.0
68,6th Phase JP Nagar,3,100.0,3,1645.0
69,6th Phase JP Nagar,2,65.0,2,1140.0
70,6th Phase JP Nagar,3,200.0,3,2040.0
71,6th Phase JP Nagar,2,63.0,2,1213.0
72,6th Phase JP Nagar,2,60.0,2,1216.0
73,6th Phase JP Nagar,2,80.0,2,1460.0
74,6th Phase JP Nagar,3,200.0,3,2003.0
75,6th Phase JP Nagar,3,131.0,3,1810.0
76,6th Phase JP Nagar,2,135.0,3,1515.0
77,6th Phase JP Nagar,2,75.0,2,1192.0
78,6th Phase JP Nagar,2,88.0,2,1280.0
79,7th Phase JP Nagar,2,72.0,2,1080.0
80,7th Phase JP Nagar,2,93.0,2,1270.0
81,7th Phase JP Nagar,2,100.0,3,1420.0
82,7th Phase JP Nagar,3,150.0,3,1850.0
83,7th Phase JP Nagar,2,94.0,2,1245.0
